,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"South Goa, GA",1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ahmadabad, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amreli, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anand, GJ",75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.66,57.66,50.1,50.67,29.79,21.75,19.96,18.37,9.39,4.1,4.83,6.26,8.52,9.1,11.62,13.22,12.4,11.1,9.11,6.33,5.94
"Arvalli, GJ",20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.71,102.71,102.71,102.71,17.0,6.79,0.84,0.79,0.79,0.79,1.55,1.55
"Banas Kantha, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bharuch, GJ",31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.79,17.43,18.08,12.72,13.34,10.74,13.72,4.93,4.25,3.6,3.6,3.96,3.96,0.99,0.99,0.99,0.99,0.99
"Bhavnagar, GJ",74.0,,,,,,,,,,,,,,,,,,,,,77.89,84.24,12.81,13.91,17.99,15.61,18.79,15.35,9.0,9.0,9.77,5.69,5.69,2.51,4.06,5.01,5.01,3.15,3.15,3.6,4.46,4.31,3.35,3.35,3.71,4.41,5.29,4.42,4.21,4.21,9.87
"Botad, GJ",33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.22,59.4,17.84,17.84,14.27,15.46,16.34,13.01,9.83,9.25,13.33,14.92,15.16
"Chhota Udepur, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Devbhumi Dwarka, GJ",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dohad, GJ",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gandhinagar, GJ",76.0,,,,,,,,,,,,,,44.44,30.16,23.02,10.16,10.16,3.02,3.02,4.03,4.03,4.03,2.6,2.6,2.6,2.6,1.1,1.1,1.1,2.12,2.12,3.07,3.07,1.97,1.97,1.97,0.95,0.95,0.89,1.73,4.91,6.21,9.18,12.14,12.95,15.92,15.39,17.57,16.92,15.39
"Gir Somnath, GJ",3.0,,,,,,,,,,,,,,,,,,,,,,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jamnagar, GJ",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86
"Junagadh, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kachchh, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kheda, GJ",12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,16.67,16.67,16.67,19.52,19.52,12.38,12.38,2.86,2.86,10.0,7.14,11.9
"Mahesana, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahisagar, GJ",39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.29,51.19,51.19,44.05,44.05,2.29,2.29,8.41,11.51,17.0,18.19
"Morbi, GJ",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Narmada, GJ",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.52,10.95,1.43,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Navsari, GJ",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.43,35.71,35.71,35.71,23.81,16.67,16.67
"Panch Mahals, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Patan, GJ",22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1,58.1,43.81,22.38,22.38,2.38,1.02,1.02,1.02,1.02,1.02,1.02,1.02,0.0,0.95,1.85,1.85,1.85,1.85,1.85,2.69,4.11,3.9,3.9
"Porbandar, GJ",3.0,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Rajkot, GJ",61.0,,,,,,,,,,,,38.1,46.67,46.67,48.45,48.45,21.47,21.47,11.94,3.37,3.37,1.59,1.59,1.43,1.43,4.03,9.52,9.52,9.52,9.52,8.09,12.85,12.64,7.14,8.16,11.02,11.81,12.57,8.16,5.78,5.78,4.76,3.3,2.82,4.86,5.29,5.29,5.29,5.29,3.89,4.31
"Sabar Kantha, GJ",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Surat, GJ",706.0,,,,,,,,,,,,44.66,44.66,16.09,17.87,13.11,11.13,8.27,6.23,6.23,7.42,8.93,11.61,12.28,10.07,10.69,12.48,11.82,8.52,8.39,10.03,12.44,22.19,28.84,29.64,37.95,36.99,37.24,36.98,28.03,19.77,19.5,12.05,11.27,7.49,5.47,4.36,4.87,4.2,3.88,3.48
"Surendranagar, GJ",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
"Tapi, GJ",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.29,14.29,14.29
"Dang, GJ",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Vadodara, GJ",378.0,,,,,,,,,,,,,26.19,23.13,23.13,4.08,4.08,4.08,4.08,4.08,0.0,1.59,4.44,4.44,11.59,14.76,38.79,47.5,46.82,44.81,45.61,39.48,37.13,14.78,7.46,8.56,8.35,8.39,8.03,7.69,6.35,5.4,3.65,3.39,3.46,3.66,4.04,4.67,5.02,5.89,6.97
"Valsad, GJ",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,8.33,3.57,0.0,2.86,2.86,2.86
"Ambala, HR",37.0,,,,,,,,,,,,,,,,,,,,,28.57,28.57,28.57,28.57,28.57,0.0,19.05,19.05,19.05,19.05,19.05,19.05,19.05,0.0,0.0,8.16,8.16,8.16,9.46,9.46,9.46,10.65,2.49,3.59,3.59,2.29,2.29,2.29,1.1,1.1,23.47
"Bhiwani, HR",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ch-Dadri, HR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faridabad, HR",75.0,,,,,,,,,,,,,14.29,21.43,21.43,26.19,19.05,19.05,19.05,19.05,30.95,30.95,26.19,26.19,30.95,30.95,30.95,12.41,13.4,13.4,7.18,2.42,2.42,2.42,1.91,4.82,4.82,4.24,4.24,4.24,4.24,4.24,1.0,1.32,0.98,0.98,3.16,5.31,5.31,7.46,7.53
"Fatehabad, HR",5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,57.14
"Gurgaon, HR",87.0,0.0,0.0,1.02,2.93,2.93,2.93,2.93,2.93,7.97,6.95,5.66,5.66,5.66,5.66,5.66,0.62,0.62,0.0,0.0,2.98,3.96,4.42,4.42,5.32,10.36,10.36,7.38,6.4,5.93,5.93,5.04,0.0,0.0,0.0,0.0,1.24,1.24,1.53,2.65,3.69,4.17,5.11,3.87,3.87,3.58,2.46,2.08,2.23,2.5,4.17,4.33
"Hisar, HR",4.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0
"Jhajjar, HR",56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.84
"Jind, HR",10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.86,46.43
"Kaithal, HR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Karnal, HR",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,57.14,57.14,60.0,2.86,2.86,2.86,2.86,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kurukshetra, HR",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Narnaul, HR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nuh, HR",55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,54.34,54.34,33.48,22.76,3.37,3.99,4.64,6.5,6.77,3.83,3.83,3.83,2.79,2.14,0.27,0.0,0.0,0.0,0.0,0.27,0.27,0.27,0.27,0.27,0.53
"Palwal, HR",35.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,42.86,42.86,89.29,89.29,96.85,96.85,97.95,55.09,55.09,9.17,9.17,1.61,1.61,0.51,0.51,0.51,1.97,1.97,1.97,1.97,1.97,1.97,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.87
"Panchkula, HR",18.0,,,,,,,,,,,,,,0.0,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,14.29,17.86,17.86,17.86,17.86,17.86,20.71,25.48,23.95,24.84,24.84,25.68,25.68,22.82,3.77,1.73,0.84,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Panipat, HR",27.0,,,,,,,,,,,,,26.19,26.19,26.19,26.19,11.9,11.9,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0.0,0.0,5.71,7.76,14.9,14.9,16.09,16.09,16.09,10.37,8.33,13.28,15.06
"Rewari, HR",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rohtak, HR",4.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,33.33,33.33,33.33,33.33,33.33,33.33,4.76,0.0,0.0,0.0,0.0
"Sirsa, HR",6.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,7.14,7.14,7.14
"Sonipat, HR",71.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,14.29,21.43,21.43,21.43,21.43,21.43,11.9,11.9,4.76,15.48,15.48,15.48,15.48,18.88,18.88,18.88,15.96,16.8,18.38,19.81,12.3,12.3,12.92,5.13,15.0,23.28
"Yamunanagar, HR",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,11.9,11.9
"Bilaspur (Chhattisgarh), HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chamba, HP",6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,7.14,7.14,7.14,7.14,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hamirpur (Himachal Pradesh), HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kangra, HP",5.0,,,,,,,,,,,,,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.57,3.57,3.57,3.57,3.57,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kinnaur, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kullu, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lahul & Spiti, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mandi, HP",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shimla, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sirmaur, HP",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solan, HP",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.46,4.08,4.08,4.08,4.08,4.08,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Una, HP",15.0,,,,,,,,,,,,,,,,,,,,,,,,,,42.86,42.86,45.24,45.24,45.24,3.4,3.4,3.4,3.4,1.02,1.02,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anantnag, JK",108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.26,74.62,40.73,42.89,42.95,32.9,34.99,15.6,12.69,10.87
"Badgam, JK",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Bandipore, JK",40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.35,31.35,19.1,16.9,8.33,3.57,0.0,0.0
"Baramula, JK",18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.07,33.5,19.21,14.45,9.09,0.0,0.0
"Doda, JK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ganderbal, JK",14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.67,45.38,45.38,23.96,23.96,23.96,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jammu, JK",27.0,,21.43,21.43,21.43,21.43,7.14,7.14,7.14,0.0,0.0,0.0,0.0,0.0,14.29,14.29,21.43,21.43,21.43,21.43,23.02,8.73,8.73,1.59,10.16,12.84,12.84,11.25,11.25,12.75,12.75,5.54,4.73,4.73,4.73,4.73,3.22,3.22,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55
"Kathua, JK",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kishtwar, JK",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kulgam, JK",11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33,8.33,6.43,2.86,2.86,2.86,2.86,2.86,2.86,0.0,0.0,0.0,2.38,10.54,10.54,10.54,10.54,10.54
"Kupwara, JK",66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,10.0,10.0,4.5,5.42,5.42,5.91,7.46,7.71,8.03,6.22,5.6,5.9,4.17,2.62,2.98,2.66,5.21,4.9
"Mirpur, JK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muzaffarabad, JK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pulwama, JK",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,9.52,15.24,15.24,15.24,17.28,19.06
"Punch, JK",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajouri, JK",4.0,,,,,,,,,,,,,,,,,,,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,4.76,4.76,4.76,4.76,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ramban, JK",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
"Reasi, JK",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
"Samba, JK",7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,9.52,9.52
"Shupiyan, JK",41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.65,8.65,3.29,1.13,0.0,0.0,0.0
"Srinagar, JK",109.0,,,,,,,,,,,21.43,30.95,42.38,51.9,53.81,56.33,46.33,39.19,29.66,18.24,8.71,6.81,4.29,4.95,9.43,9.43,9.43,12.23,12.75,15.76,11.64,7.74,8.11,8.11,5.32,4.98,1.97,1.15,0.56,0.18,0.18,0.91,1.07,1.24,1.24,1.4,1.73,2.05,3.68,3.34,3.57
"Udhampur, JK",20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,96.43,53.57,53.57,53.57,53.57,54.32,54.32,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bokaro, JH",8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.86,64.9,64.9,64.9,7.76,7.76,7.76,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Chatra, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deoghar, JH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,28.57,28.57,28.57
"Dhanbad, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dumka, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garhwa, JH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,28.57,28.57,0.0,0.0
"Giridih, JH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Godda, JH",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gumla, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hazaribagh, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,14.29,14.29,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jamtara, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29
"Khunti, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kodarma, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latehar, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lohardaga, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pakur, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Palamu, JH",3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
"Pashchimi Singhbhum, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Purbi Singhbhum, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ramgarh, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ranchi, JH",82.0,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,50.0,50.0,52.04,52.04,43.11,45.71,46.81,11.09,14.16,12.96,17.72,12.36,9.76,8.66,12.23,12.03,13.17,12.94,18.23,18.62,18.81,15.79,13.29,11.31,6.78,1.49
"Sahibganj, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saraikela-Kharsawan, JH",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simdega, JH",2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29,14.29,14.29,14.29,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bagalkot, KA",32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,46.67,46.67,46.67,19.88,15.12,17.5,8.93,8.93,16.07,16.07,14.29,9.52,7.14,7.14,9.18,2.04,2.04,3.23,4.88,4.88,4.88,2.84,2.84,4.32,3.13
"Bellary, KA",13.0,,,,,,,,,,,,,,,,,,,,,,,,11.19,11.19,6.43,6.43,2.86,0.0,0.0,0.0,0.0,0.0,16.67,16.67,16.67,16.67,16.67,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Belgaum, KA",74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.17,25.17,11.84,14.9,15.74,16.53,23.19,25.18,25.52,19.81,16.75,16.25,15.45,2.67,1.35,3.86,3.86,3.86,3.52,3.79,7.42,7.38,4.92,4.92,4.92
"Bangalore, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bangalore Rural, KA",10.0,,,,,,,,,,,,,,,,,,,0.0,0.0,14.29,28.57,35.71,38.1,38.1,38.1,42.18,27.89,13.61,8.05,5.67,5.67,5.67,1.59,1.59,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bidar, KA",23.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.43,1.43,4.03,4.03,4.03,4.03,5.12,3.7,3.7,2.12,2.12,2.12,2.12,1.02,1.02,1.02,0.0,0.0,0.0,0.0,0.0,0.95,0.95,7.2
"Chamarajanagar, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chikkaballapura, KA",21.0,,,,,,,,,,,,,,44.05,29.76,29.76,24.21,24.21,19.44,19.44,1.59,1.59,1.59,0.0,1.43,2.73,2.73,2.73,2.73,2.73,3.92,2.49,1.19,4.49,4.49,4.49,4.49,3.3,3.3,3.3,0.89,1.73,1.73,1.73,1.73,1.73,1.73,1.63,1.55,1.55,2.26
"Chikmagalur, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chitradurga, KA",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dakshina Kannada, KA",23.0,,,,,,,,,,,,,,,,,9.52,11.56,11.56,4.42,9.78,9.78,9.78,7.4,5.36,5.36,5.36,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,3.68,3.68,4.7,4.7,5.65,4.35,5.25,3.71,5.29,4.27,4.27,4.03,5.4,4.5,3.66,2.07
